Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Big, sick, and rotting: Why tree size, damage, and decay are important to fisher reproductive habitat","Weir, Richard D.; Phinney, Mark; Lofroth, Eric C.",,,,FOREST ECOLOGY AND MANAGEMENT,FEB 1 2012,2012,265,,,,,230,240,,10.1016/j.foreco.2011.10.043,,,42,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,6,2,3,7,5,2,5,2,1
Movement trajectories and habitat partitioning of small mammals in logged and unlogged rain forests on Borneo,"Wells, Konstans; Pfeiffer, Martin; Lakim, Maklarin B.; Kalko, Elisabeth K. V.",,,,JOURNAL OF ANIMAL ECOLOGY,SEP 2006,2006,75,5,,,,1212,1223,,10.1111/j.1365-2656.2006.01144.x,,,42,2.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,4,1,1,2,2,3,3,1,1,4,2,4,4,1,0
Metrics of Lidar-Derived 3D Vegetation Structure Reveal Contrasting Effects of Horizontal and Vertical Forest Heterogeneity on Bird Species Richness,"Carrasco, Luis; Giam, Xingli; Papes, Monica; Sheldon, Kimberly S.",,,,REMOTE SENSING,APR 1 2019,2019,11,7,,,,,,743,10.3390/rs11070743,,,41,6.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,15,14,1
Incorporating temporality and biophysical vulnerability to quantify the human spatial footprint on ecosystems,"Etter, A.; McAlpine, C. A.; Seabrook, L.; Wilson, K. A.",,,,BIOLOGICAL CONSERVATION,MAY 2011,2011,144,5,,,,1585,1594,,10.1016/j.biocon.2011.02.004,,,41,2.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,3,3,3,4,3,3,3,4,7,2
"Modelling habitat suitability of the swamp antechinus (<i>Antechinus minimus maritimus</i>) in the coastal heathlands of southern Victoria, Australia","Gibson, LA; Wilson, BA; Cahill, DM; Hill, J",,,,BIOLOGICAL CONSERVATION,MAY 2004,2004,117,2,,,,143,150,,10.1016/S0006-3207(03)00288-X,,,41,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,8,6,1,2,1,2,2,1,3,1,2,1,0,1,0,1,0,0
"Tree shape, forest structure and diversity of drosophilid community: Comparison between boreal and temperate birch forests","Tanabe, SI; Toda, MJ; Vinokurova, AV",,,,ECOLOGICAL RESEARCH,SEP 2001,2001,16,3,,,,369,385,,10.1046/j.1440-1703.2001.00402.x,,,41,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,1,2,2,2,4,2,2,2,2,0,2,0,4,1,2,1,2,3,0
Darker ants dominate the canopy: Testing macroecological hypotheses for patterns in colour along a microclimatic gradient,"Law, Stephanie J.; Bishop, Tom R.; Eggleton, Paul; Griffiths, Hannah; Ashton, Louise; Parr, Catherine",,,,JOURNAL OF ANIMAL ECOLOGY,FEB 2020,2020,89,2,,,,347,359,,10.1111/1365-2656.13110,,,40,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,15,5,4
"MICROCLIMATE VARIABILITY SIGNIFICANTLY AFFECTS THE COMPOSITION, ABUNDANCE AND PHENOLOGY OF BUTTERFLY COMMUNITIES IN A HIGHLY THREATENED NEOTROPICAL DRY FOREST","Checa, Maria F.; Rodriguez, Jacqueline; Willmott, Keith R.; Liger, Belen",,,,FLORIDA ENTOMOLOGIST,MAR 2014,2014,97,1,,,,1,13,,,,,40,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,5,3,7,2,5,5,4,3
Multivariate forest structure modelling and mapping using high resolution airborne imagery and topographic information,"Pasher, Jon; King, Douglas J.",,,,REMOTE SENSING OF ENVIRONMENT,AUG 16 2010,2010,114,8,,,,1718,1732,,10.1016/j.rse.2010.03.005,,,40,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,3,1,1,5,4,7,5,1,1,2,0
Ecological and social determinants of spacing behaviour in desert baboon groups,"Cowlishaw, G",,,,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,JAN 1999,1999,45,1,,,,67,77,,10.1007/s002650050540,,,40,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,2,2,3,5,2,5,1,2,5,0,2,1,0,2,1,0,1,0
Modelling micro-habitat temperature for Dendroctonus ponderosae (Coleoptera: Scolytidae),"Bolstad, PV; Bentz, BJ; Logan, JA",,,,ECOLOGICAL MODELLING,JAN 15 1997,1997,94,2-3,,,,287,297,,10.1016/S0304-3800(96)00021-X,,,40,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,1,3,3,1,4,2,0,4,3,1,1,0,2,3,2,0,2,1,1,0
"Characterizing habitats associated with fisher den structures in the Southern Sierra Nevada, California using discrete return lidar","Zhao, F.; Sweitzer, R. A.; Guo, Q.; Kelly, M.",,,,FOREST ECOLOGY AND MANAGEMENT,SEP 15 2012,2012,280,,,,,112,119,,10.1016/j.foreco.2012.06.005,,,39,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,5,2,0,5,5,6,2,0,0
Perception of a fragmented landscape by neotropical marsupials: effects of body mass and environmental variables,"Forero-Medina, Geram; Vieira, Marcus Vinicius",,,,JOURNAL OF TROPICAL ECOLOGY,JAN 2009,2009,25,,,,,53,62,,10.1017/S0266467408005543,,,39,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,4,3,2,2,4,3,1,2,2,5,0,2,1
Satellite image texture captures vegetation heterogeneity and explains patterns of bird richness,"Farwell, Laura S.; Gudex-Cross, David; Anise, Ilianna E.; Bosch, Michael J.; Olah, Ashley M.; Radeloff, Volker C.; Razenkova, Elena; Rogova, Natalia; Silveira, Eduarda M. O.; Smith, Matthew M.; Pidgeon, Anna M.",,,,REMOTE SENSING OF ENVIRONMENT,FEB 2021,2021,253,,,,,,,112175,10.1016/i.rse.2020.112175,,,38,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,12,1
Stand structure drives disparities in carbon storage in northern hardwood-conifer forests,"Thom, Dominik; Keeton, William S.",,,,FOREST ECOLOGY AND MANAGEMENT,JUN 15 2019,2019,442,,,,,10,20,,10.1016/j.foreco.2019.03.053,,,37,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,9,6,10,2
Locomotor kinetics on sloped arboreal and terrestrial substrates in a small quadrupedal mammal,"Lammers, Andrew R.",,,,ZOOLOGY,2007,2007,110,2,,,,93,103,,10.1016/j.zool.2006.12.002,,,37,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,2,4,4,4,3,2,3,1,2,2,0,0
Landscape characteristics associated with species richness and occurrence of small native mammals inhabiting a coastal heathland: a spatial modelling approach,"Gibson, LA; Wilson, BA; Aberton, JG",,,,BIOLOGICAL CONSERVATION,NOV 2004,2004,120,1,,,,75,89,,10.1016/j.biocon.2004.01.027,,,37,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,5,4,3,1,0,3,2,1,0,0,2,0,0,3,1,0,0
Response of mixed-species flocks to habitat alteration and deforestation in the Andes,"Colorado Zuluaga, Gabriel J.; Rodewald, Amanda D.",,,,BIOLOGICAL CONSERVATION,AUG 2015,2015,188,,,,SI,72,81,,10.1016/j.biocon.2015.02.008,,,36,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,5,5,2,6,6,5,0
Testing the gravity hypothesis of sexual size dimorphism: are small males faster climbers?,"Brandt, Yoni; Andrade, Maydianne C. B.",,,,FUNCTIONAL ECOLOGY,APR 2007,2007,21,2,,,,379,385,,10.1111/j.1365-2435.2007.01243.x,,,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,1,3,2,3,3,3,5,1,4,1,0,1,2,0
Effects of logging and non-native tree proliferation on the birds overwintering in the upland forests of north-western Italy,"Laiolo, P; Caprio, E; Rolando, A",,,,FOREST ECOLOGY AND MANAGEMENT,JUL 3 2003,2003,179,1-3,,,,441,454,PII S0378-1127(02)00542-X,10.1016/S0378-1127(02)00542-X,,,36,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,0,4,1,2,4,4,0,2,3,2,1,0,1,1,1,1,0
"Assessment of fuel resource diversity and utilization patterns in Askot Wildlife Sanctuary in Kumaun Himalaya, India, for conservation and management","Samant, SS; Dhar, U; Rawal, RS",,,,ENVIRONMENTAL CONSERVATION,MAR 2000,2000,27,1,,,,5,13,,10.1017/S0376892900000023,,,36,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,2,0,1,2,3,0,1,4,1,2,1,3,4,2,3,1,0
An improved approach to estimate above-ground volume and biomass of desert shrub communities based on UAV RGB images,"Mao, Peng; Qin, Longjun; Hao, Mengyu; Zhao, Wenli; Luo, Jiechunyi; Qiu, Xu; Xu, Lijie; Xiong, Yujiu; Ran, Yili; Yan, Chunhua; Qiu, Guo Yu",,,,ECOLOGICAL INDICATORS,JUN 2021,2021,125,,,,,,,107494,10.1016/j.ecolind.2021.107494,,,35,8.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,16,4
The Influence of Vegetation Height Heterogeneity on Forest and Woodland Bird Species Richness across the United States,"Huang, Qiongyu; Swatantran, Anu; Dubayah, Ralph; Goetz, Scott J.",,,,PLOS ONE,AUG 7 2014,2014,9,8,,,,,,e103236,10.1371/journal.pone.0103236,,,35,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,5,2,2,6,6,2,3,0
Airborne laser scanner (LiDAR) proxies for understory light conditions,"Alexander, Cici; Moeslund, Jesper Erenskjold; Bocher, Peder Klith; Arge, Lars; Svenning, Jens-Christian",,,,REMOTE SENSING OF ENVIRONMENT,JUL 2013,2013,134,,,,,152,161,,10.1016/j.rse.2013.02.028,,,35,2.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,4,7,5,5,3,2,1
Does acoustic adaptation drive vertical stratification? A test in a tropical cricket assemblage,"Jain, Manjari; Balakrishnan, Rohini",,,,BEHAVIORAL ECOLOGY,MAR-APR 2012,2012,23,2,,,,343,354,,10.1093/beheco/arr191,,,35,2.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,4,2,1,1,2,6,4,3,2
"Identifying Sykes' monkeys', <i>Cercopithecus albogularis erythrarchus</i>, axes of fear through patch use","Emerson, Sara E.; Brown, Joel S.; Linden, Jabu D.",,,,ANIMAL BEHAVIOUR,FEB 2011,2011,81,2,,,,455,462,,10.1016/j.anbehav.2010.11.018,,,35,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,3,2,3,2,1,9,2,3,2,0
Breeding habitat preferences of the turtledove (Streptopelia turtur) in the Dadia-Soufli National Park and its implications for management,"Bakaloudis, D. E.; Vlachos, C. G.; Chatzinikos, E.; Bontzorlos, V.; Papakosta, M.",,,,EUROPEAN JOURNAL OF WILDLIFE RESEARCH,DEC 2009,2009,55,6,,,,597,602,,10.1007/s10344-009-0287-y,,,35,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,2,5,2,2,6,4,1,0
"Sediment production on sediment-starved continental margins: The interrelationship between hardbottoms, sedimentological and benthic community processes, and storm dynamics","Riggs, SR; Ambrose, WG; Cook, JW; Snyder, SW; Snyder, SW",,,,JOURNAL OF SEDIMENTARY RESEARCH,JAN 1998,1998,68,1,A,,,155,168,,10.2110/jsr.68.155,,,35,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,3,3,3,1,1,1,2,0,3,0,2,1,1,0,2,2,1,1,1,2,0,1
Ecological connectivity in the three-dimensional urban green volume using waveform airborne lidar,"Casalegno, Stefano; Anderson, Karen; Cox, Daniel T. C.; Hancock, Steven; Gaston, Kevin J.",,,,SCIENTIFIC REPORTS,APR 6 2017,2017,7,,,,,,,45571,10.1038/srep45571,,,34,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,11,8,7,0
"Variability of stomatal conductance, leaf anatomy, and seasonal leaf wettability of young and adult European beech leaves along a vertical canopy gradient","Van Wittenberghe, Shari; Adriaenssens, Sandy; Staelens, Jeroen; Verheyen, Kris; Samson, Roeland",,,,TREES-STRUCTURE AND FUNCTION,OCT 2012,2012,26,5,,,,1427,1438,,10.1007/s00468-012-0714-7,,,34,2.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,3,1,2,1,5,0,4,5,0
Effect of pea plant architecture on spatiotemporal epidemic development of ascochyta blight (<i>Mycosphaerella pinodes</i>) in the field,"Le May, C.; Ney, B.; Lemarchand, E.; Schoeny, A.; Tivoli, B.",,,,PLANT PATHOLOGY,APR 2009,2009,58,2,,,,332,343,,10.1111/j.1365-3059.2008.01947.x,,,34,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,5,10,2,0,1,2,3,1,0,2,2,3,0
SEASONAL MICROHABITAT SELECTION BY TERRESTRIAL RODENTS IN AN OLD-GROWTH ATLANTIC FOREST,"Naxara, Laura; Pinotti, Bruno T.; Pardini, Renata",,,,JOURNAL OF MAMMALOGY,APR 2009,2009,90,2,,,,404,415,,10.1644/08-MAMM-A-100.1,,,34,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,4,2,1,2,3,5,1,4,2,2,1
Environmental drivers of taxonomic and functional diversity of ant communities in a tropical mountain,"de Castro, Flavio Siqueira; Da Silva, Pedro Giovani; Solar, Ricardo; Fernandes, Geraldo Wilson; Neves, Frederico de Siqueira",,,,INSECT CONSERVATION AND DIVERSITY,JUL 2020,2020,13,4,,,,393,403,,10.1111/icad.12415,,,33,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,7,12,1
